Order Number,Date Placed,SAP Delivery Date,Customer Name,Customer Shipping Address Street,Customer Shipping Address City,Customer Shipping Address State,Customer Shipping Address Zip,SMG SKU 1,Web SKU 1,Quantity 1,Unit 1,Unit Price 1,SMG SKU 2,Web SKU 2,Quantity 2,Unit 2,Unit Price 2,Gross Sales,Shipping Amount,Exempt Amount,Discount Amount,Subtotal,Tax Rate,Sales Tax No Shipping,Sales Tax On Shipping,Invoice Amount,Delivery Location,Customer Email,Customer Phone,Delivery Window,Shipping Condition,
1,2018-11-07 18:20:09,,Test2018110701 Tester,2018110701 Testing Lane,Marysville,Ohio,43040,25006A,25006A,1.0000,1,22.9900,,,,,,0.0000,5.0000,0,0.0000,68.9700,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018110701.tester@test.com,2018110701,,,
1,2018-11-07 18:20:09,,Test2018110701 Tester,2018110701 Testing Lane,Marysville,Ohio,43040,38605D8,38605D8,1.0000,3,20.9900,,,,,,0.0000,5.0000,0,0.0000,68.9700,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018110701.tester@test.com,2018110701,,,
1,2018-11-07 18:20:09,,Test2018110701 Tester,2018110701 Testing Lane,Marysville,Ohio,43040,49013,49013,1.0000,2,24.9900,,,,,,0.0000,5.0000,0,0.0000,68.9700,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018110701.tester@test.com,2018110701,,,
2,2018-11-07 19:05:38,,Test2018110702 Tester,2018110702 Testing Lane,Marysville,Ohio,43040,38605D8,38605D8,1.0000,3,20.9900,,,,,,0.0000,5.0000,0,0.0000,20.9900,0.0000,0.0000,0.0000,0.0000,Flat Rate - Fixed,test2018110702.tester@test.com,2018110702,,,
3,2018-11-19 20:48:28,,Test2018111901 Tester,2018111901 Testing Lane,Marysville,Ohio,43040,38605D8,38605D8,1.0000,3,20.9900,,,,,,55.9800,10.0000,0,0.0000,45.9800,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018111901.tester@test.com,2018111901,,,
3,2018-11-19 20:48:28,,Test2018111901 Tester,2018111901 Testing Lane,Marysville,Ohio,43040,49013,49013,1.0000,2,24.9900,,,,,,55.9800,10.0000,0,0.0000,45.9800,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018111901.tester@test.com,2018111901,,,
4,2018-11-20 21:41:04,,Test2018112001 Tester,2018112001 Testing Lane,Marysville,Ohio,43040,25006A,25006A,1.0000,1,22.9900,,,,,,83.9700,15.0000,0,0.0000,68.9700,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112001.tester@test.com,2018112001,,,
4,2018-11-20 21:41:04,,Test2018112001 Tester,2018112001 Testing Lane,Marysville,Ohio,43040,38605D8,38605D8,1.0000,3,20.9900,,,,,,83.9700,15.0000,0,0.0000,68.9700,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112001.tester@test.com,2018112001,,,
4,2018-11-20 21:41:04,,Test2018112001 Tester,2018112001 Testing Lane,Marysville,Ohio,43040,49013,49013,1.0000,2,24.9900,,,,,,83.9700,15.0000,0,0.0000,68.9700,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112001.tester@test.com,2018112001,,,
5,2018-11-26 15:12:39,,Test2018112601 Tester,2018112601 Testing Lane,Marysville,Ohio,43040,38605D8,38605D8,1.0000,3,20.9900,,,,,,83.9700,15.0000,0,0.0000,68.9700,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112601.tester@test.com,2018112601,,,
5,2018-11-26 15:12:39,,Test2018112601 Tester,2018112601 Testing Lane,Marysville,Ohio,43040,49013,49013,1.0000,2,24.9900,,,,,,83.9700,15.0000,0,0.0000,68.9700,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112601.tester@test.com,2018112601,,,
5,2018-11-26 15:12:39,,Test2018112601 Tester,2018112601 Testing Lane,Marysville,Ohio,43040,25006A,25006A,1.0000,1,22.9900,,,,,,83.9700,15.0000,0,0.0000,68.9700,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112601.tester@test.com,2018112601,,,
6,2018-11-26 18:57:54,,Test2018112603 Tester,2018112603 Testing Lane,Marysville,Ohio,43040,38605D8,38605D8,1.0000,3,20.9900,,,,,,55.9800,10.0000,0,0.0000,45.9800,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112603.tester@test.com,2018112603,,,
6,2018-11-26 18:57:54,,Test2018112603 Tester,2018112603 Testing Lane,Marysville,Ohio,43040,49013,49013,1.0000,2,24.9900,,,,,,55.9800,10.0000,0,0.0000,45.9800,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112603.tester@test.com,2018112603,,,
7,2018-11-26 19:12:02,,Test2018112603 Tester,2018112603 Testing Lane,Marysville,Ohio,43040,38605D8,38605D8,1.0000,3,20.9900,,,,,,53.9800,10.0000,0,0.0000,43.9800,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112603.tester@test.com,2018112603,,,
7,2018-11-26 19:12:02,,Test2018112603 Tester,2018112603 Testing Lane,Marysville,Ohio,43040,25006A,25006A,1.0000,1,22.9900,,,,,,53.9800,10.0000,0,0.0000,43.9800,0.0000,0.0000,0.0000,,Flat Rate - Fixed,test2018112603.tester@test.com,2018112603,,,
8,2018-11-26 20:12:13,,Test2018112604 Tester,2018112604 Testing Lane,Marysville,Ohio,43040,38605D8,38605D8,1.0000,3,20.9900,,,,,,25.9900,5.0000,0,0.0000,20.9900,0.0000,0.0000,0.0000,25.9900,Flat Rate - Fixed,test2018112604.tester@test.com,2018112604,,,
